filename	date	artist	title	score	likes	dislikes	views	duration
20120626_Open Mike Eagle- 4NML HSPTL ALBUM REVIEW.jpg	20120626	Open Mike Eagle	4NML HSPTL	7/10	277	8	21895	353
20120627_Ty Segall Band- Slaughterhouse _ Ty Segall & White Fence- Hair ALBUM REVIEWS.jpg	20120627	Ty Segall Band- Slaughterhouse _ Ty Segall & White Fence	Hair	8/10 & 8/10	538	16	50822	796
20120628_Old Man Gloom- NO ALBUM REVIEW.jpg	20120628	Old Man Gloom	NO	6/10	202	11	20548	357
20120629_Hot Chip- In Our Heads ALBUM REVIEW.jpg	20120629	Hot Chip	In Our Heads	7/10	326	9	34730	349
20120703_Spaceghostpurrp- Mysterious Phonk - The Chronicles of SpvcxxGhxztPvrrp ALBUM REVIEW.jpg	20120703	Spaceghostpurrp- Mysterious Phonk 	The Chronicles of SpvcxxGhxztPvrrp	5/10	774	223	82478	345
20120705_Rush- Clockwork Angels ALBUM REVIEW.jpg	20120705	Rush	Clockwork Angels	6/10	755	119	55992	717
20120706_Dirty Projectors- Swing Lo Magellan ALBUM REVIEW.jpg	20120706	Dirty Projectors	Swing Lo Magellan	6/10	242	60	42380	356
20120710_Twin Shadow- Confess ALBUM REVIEW.jpg	20120710	Twin Shadow	Confess	5/10	216	49	29588	387
20120711_Frank Ocean- Channel Orange ALBUM REVIEW.jpg	20120711	Frank Ocean	Channel Orange	7/10	7036	2516	740234	515
20120713_Baroness- Yellow and Green ALBUM REVIEW.jpg	20120713	Baroness	Yellow and Green	7/10	657	24	56958	563
20120716_Wreck and Reference- No Youth ALBUM REVIEW.jpg	20120716	Wreck and Reference	No Youth	7/10	302	6	20763	361
20120717_Nas- Life Is Good ALBUM REVIEW.jpg	20120717	Nas	Life Is Good	4/10	1674	2634	147372	529
20120718_Holograms- Self-Titled ALBUM REVIEW.jpg	20120718	Holograms- Self	Titled	8/10	277	11	24816	388
20120719_Aesop Rock- Skelethon ALBUM REVIEW.jpg	20120719	Aesop Rock	Skelethon	7/10	1806	119	131933	511
20120720_Mission of Burma- Unsound ALBUM REVIEW.jpg	20120720	Mission of Burma	Unsound	6/10	205	7	20417	509
20120724_Gnaw Their Tongues- Eschatological Scatology ALBUM REVIEW.jpg	20120724	Gnaw Their Tongues	Eschatological Scatology	7/10	525	32	35583	374
20120725_Purity Ring- Shrines ALBUM REVIEW.jpg	20120725	Purity Ring	Shrines	6/10	596	108	53949	322
20120727_Guardian Alien- See the World Given to a One Love Entity ALBUM REVIEW.jpg	20120727	Guardian Alien	See the World Given to a One Love Entity	6/10	213	10	14325	393
20120730_Rick Ross- God Forgives, I Don't ALBUM REVIEW.jpg	20120730	Rick Ross	God Forgives, I Don't	3/10	1872	161	138740	683
20120801_Nachtmystium- Silencing Machine ALBUM REVIEW.jpg	20120801	Nachtmystium	Silencing Machine	8/10	488	14	27270	467
20120802_Passion Pit- Gossamer ALBUM REVIEW.jpg	20120802	Passion Pit	Gossamer	6/10	674	138	50708	425
20120803_Domo Genesis- No Idols ALBUM REVIEW.jpg	20120803	Domo Genesis	No Idols	5/10	1087	161	88624	409
20120803_Om- Advaitic Songs ALBUM REVIEW.jpg	20120803	Om	Advaitic Songs	5/10	340	607	36313	371
20120812_Niki and the Dove- Instinct ALBUM REVIEW.jpg	20120812	Niki and the Dove	Instinct	6/10	262	10	17605	398
20120813_Ariel Pink's Haunted Graffiti- Mature Themes ALBUM REVIEW.jpg	20120813	Ariel Pink's Haunted Graffiti	Mature Themes	6/10	374	34	46613	381
20120814_Parquet Courts- Light Up Gold ALBUM REVIEW.jpg	20120814	Parquet Courts	Light Up Gold	7/10	403	13	44531	383
20120816_2 Chainz- Based on a T.R.U. Story ALBUM REVIEW.jpg	20120816	2 Chainz	Based on a T.R.U. Story	4/10	1758	122	176448	465
20120817_Xibalba- Hasta La Muerte ALBUM REVIEW.jpg	20120817	Xibalba	Hasta La Muerte	8/10	659	28	44553	497
20120820_JJ DOOM- Key to the Kuffs ALBUM REVIEW.jpg	20120820	JJ DOOM	Key to the Kuffs	6/10	1644	89	121880	708
20120821_Eprom- Metahuman ALBUM REVIEW.jpg	20120821	Eprom	Metahuman	7/10	690	8	26189	447
20120822_Jessie Ware- Devotion ALBUM REVIEW.jpg	20120822	Jessie Ware	Devotion	4/10	254	106	23064	439
20120823_Wild Nothing- Nocturne ALBUM REVIEW.jpg	20120823	Wild Nothing	Nocturne	8/10	1024	29	62463	380
20120824_Bloc Party- Four ALBUM REVIEW.jpg	20120824	Bloc Party	Four	7/10	1391	42	72740	688
20120827_Matthew Dear- Beams ALBUM REVIEW.jpg	20120827	Matthew Dear	Beams	8/10	247	3	19361	423
20120828_The Faceless- Autotheism ALBUM REVIEW.jpg	20120828	The Faceless	Autotheism	5/10	757	226	50367	419
20120829_Swans- The Seer ALBUM REVIEW.jpg	20120829	Swans	The Seer	8/10	1917	71	147378	762
20120830_A$AP Mob- Lord$ Never Worry ALBUM REVIEW (MIXTAPE, REALLY).jpg	20120830	A$AP Mob	Lord$ Never Worry	3/10	928	174	75725	400
20120830_Slaughterhouse- Welcome to - Our House ALBUM REVIEW.jpg	20120830	Slaughterhouse- Welcome to 	Our House	3/10	971	219	71834	417
20120831_Holy Other- Held ALBUM REVIEW.jpg	20120831	Holy Other	Held	6/10	348	14	25829	337
20120904_Murder Construct- Results ALBUM REVIEW.jpg	20120904	Murder Construct	Results	8/10	452	8	26222	418
20120905_Animal Collective- Centipede Hz ALBUM REVIEW.jpg	20120905	Animal Collective	Centipede Hz	6/10	1132	255	102524	617
20120906_Jens Lekman- I Know What Love Isn't ALBUM REVIEW.jpg	20120906	Jens Lekman	I Know What Love Isn't	7/10	264	13	16217	422
20120906_Mount Eerie- Ocean Roar ALBUM REVIEW.jpg	20120906	Mount Eerie	Ocean Roar	5/10	293	39	23024	378
20120907_Dan Deacon- America ALBUM REVIEW.jpg	20120907	Dan Deacon	America	5/10	223	23	22817	414
20120912_The xx- Coexist ALBUM REVIEW.jpg	20120912	The xx	Coexist	4/10	1107	233	134586	448
20120913_Krallice- Years Past Matter ALBUM REVIEW.jpg	20120913	Krallice	Years Past Matter	8/10	519	11	31248	923
20120915_Ondatrópica- Self-Titled ALBUM REVIEW.jpg	20120915	Ondatrópica- Self	Titled	9/10	660	13	35662	654
20120917_Woods- Bend Beyond ALBUM REVIEW.jpg	20120917	Woods	Bend Beyond	7/10	190	5	17355	407
20120918_Grizzly Bear- Shields ALBUM REVIEW.jpg	20120918	Grizzly Bear	Shields	6/10	621	411	72667	460
20120920_David Byrne & St. Vincent- Love This Giant ALBUM REVIEW.jpg	20120920	David Byrne & St. Vincent	Love This Giant	7/10	567	17	45175	453
20120920_Dinosaur Jr.- I Bet On Sky ALBUM REVIEW.jpg	20120920	Dinosaur Jr.	I Bet On Sky	7/10	582	21	43370	408
20120921_How To Dress Well- Total Loss ALBUM REVIEW.jpg	20120921	How To Dress Well	Total Loss	6/10	319	8	26559	428
20120924_Title Fight- Floral Green ALBUM REVIEW.jpg	20120924	Title Fight	Floral Green	7/10	859	76	72289	384
